Date,b0,b1,b2,b3,t1,t2
2010-11-11,1.28981,-0.48052,11.60072,-6.50722,7.29019,3.54668
2010-11-12,1.37967,-0.59713,9.78239,-4.41434,8.12564,3.10696
2010-11-15,1.1139,-0.37679,10.62267,-4.15944,8.37997,3.39598
2010-11-16,1.14064,-0.41444,11.41891,-4.967,7.94478,3.56938
2010-11-17,1.19964,-0.4692,9.93065,-3.46768,8.56557,2.94558
2010-11-18,1.17706,-0.48587,9.36259,-2.3573,9.30476,2.49736
2010-11-19,1.19478,-0.52031,9.42846,-2.27193,9.27954,2.58653
2010-11-22,1.31388,-0.63074,9.30933,-2.44926,8.84633,2.60174
2010-11-23,1.13416,-0.42147,9.23326,-2.48379,9.31467,2.22452
2010-11-24,1.06268,-0.36856,9.19078,-2.64001,9.34003,2.10017
2010-11-25,1.36728,-0.72015,9.20233,-2.73929,8.58935,2.27179
2010-11-26,1.17112,-0.53741,9.35176,-2.44292,9.27211,2.09379
2010-11-29,1.62854,-0.99914,8.99444,-2.97253,8.18128,2.22182
2010-11-30,1.82668,-1.18737,8.57444,-3.47434,7.45669,2.28961
2010-12-01,1.68821,-1.1261,8.75282,-2.77736,8.0847,2.14506
2010-12-02,1.77549,-1.18306,8.7478,-2.90302,7.85375,1.96523
2010-12-03,1.92734,-1.38602,-3.81048,7.68132,2.13252,7.82748
2010-12-06,2.39151,-1.79738,-4.98464,7.35756,2.30742,6.84418
2010-12-07,2.39298,-1.82604,-4.78523,7.45027,2.30841,7.08324
2010-12-08,1.86786,-1.31344,-3.5594,8.27755,2.00785,8.47423
2010-12-09,1.92597,-1.43512,-3.13556,7.71537,2.05428,8.21548
2010-12-10,2.02321,-1.54861,-2.99201,7.33084,2.08337,8.13967
2010-12-13,1.95296,-1.53652,-2.60149,7.5947,2.31448,8.23327
2010-12-14,1.67953,-1.25441,-2.41648,8.12274,1.94081,9.13207
2010-12-15,1.6408,-1.19602,-2.27996,8.18658,1.6784,9.60361
2010-12-16,1.64322,-1.21188,-2.251,8.20787,1.7261,9.48906
2010-12-17,1.73728,-1.29041,-2.39025,7.97534,1.75799,9.29947
2010-12-20,1.45711,-0.9599,-2.32382,8.67631,1.75806,9.64703
2010-12-21,1.41681,-0.9448,-2.29099,8.81126,1.95586,9.43988
2010-12-22,1.42755,-1.02388,-2.24389,8.8861,2.0201,9.31424
2010-12-23,1.38649,-0.98662,-2.66742,9.08201,2.02019,9.15452
2010-12-27,1.5644,-1.16886,-2.64961,8.82316,1.93866,9.06154
2010-12-28,1.69183,-1.22105,-3.19347,8.27609,1.83138,8.83613
2010-12-29,1.93146,-1.53138,-3.38363,7.92057,1.94282,8.33107
2010-12-30,1.51015,-1.09827,-3.1512,9.05963,2.00809,8.75721
2011-01-03,1.40355,-0.94152,-3.02632,8.95224,1.7247,9.32584
2011-01-04,1.86743,-1.41487,-3.69333,8.16034,2.07628,8.07643
2011-01-05,1.31921,-0.7467,-3.05678,8.84412,1.65211,9.38986
2011-01-06,1.45999,-0.98226,-2.74783,8.91453,1.81399,9.45358
2011-01-07,1.4036,-0.93975,-2.79614,8.9695,1.86177,9.33399
2011-01-10,1.39561,-0.90464,-2.82671,8.89666,1.8131,9.59009
2011-01-11,1.37439,-0.86258,9.75649,-2.39574,9.13527,1.79493
2011-01-12,1.45192,-0.89892,9.71113,-2.23071,9.10161,1.69953
2011-01-13,1.50362,-1.02634,9.86027,-1.99445,8.97155,1.77499
2011-01-14,1.45412,-0.98438,9.55229,-1.23965,9.04246,1.87109
2011-01-17,1.46821,-0.98608,9.55721,-1.33495,9.18204,1.78703
2011-01-18,1.54768,-1.08662,9.43835,-1.07862,9.02284,1.79544
2011-01-19,1.54013,-1.09188,9.59376,-0.99393,9.15948,1.91716
2011-01-20,1.53119,-1.07839,9.66195,-1.05003,9.04588,2.11209
2011-01-21,1.56,-1.10995,9.43882,-0.47357,9.29436,1.8986
2011-01-24,1.56725,-1.10597,9.37265,-0.39138,9.41293,1.62108
2011-01-25,1.52847,-1.07279,9.33742,-0.45602,9.49981,1.60635
2011-01-26,1.60086,-1.02212,9.26399,-0.57076,9.61028,1.38186
2011-01-27,1.5981,-1.07184,-1.04687,8.21985,1.75484,10.21909
2011-01-28,1.58802,-1.02704,-0.89171,8.38026,2.15977,10.0014
2011-01-31,1.56458,-0.95128,-0.82324,8.17993,1.9294,10.31152
2011-02-01,1.62068,-0.98695,-1.10971,8.3792,2.05581,10.04863
2011-02-02,1.65704,-1.03173,-1.1134,8.3953,2.1173,10.07131
2011-02-03,1.64457,-1.00439,-8.95552,17.36465,6.16373,7.76319
2011-02-04,1.64743,-1.01104,-1.37488,8.82433,2.62161,9.4696
2011-02-07,1.68003,-1.08502,-1.6865,9.72013,4.03499,8.86131
2011-02-08,1.67776,-1.10694,-1.08944,8.41717,2.05213,10.05173
2011-02-09,1.70951,-1.0943,-6.31191,14.95421,6.49054,8.29638
2011-02-10,1.71532,-1.10467,-19.50936,28.19774,6.98691,7.78101
2011-02-11,1.71825,-1.12891,-21.31952,30,6.91338,7.66729
2011-02-14,1.73396,-1.16166,-21.30605,30,6.81577,7.59603
2011-02-15,1.75507,-1.17029,-21.12322,29.8605,6.90543,7.66804
2011-02-16,1.68081,-1.09277,-21.35605,29.93774,6.58757,7.42302
2011-02-17,1.67801,-1.10756,-18.87319,27.43744,6.71758,7.60377
2011-02-18,1.63264,-1.06405,-21.42043,29.82905,6.50933,7.37917
2011-02-21,1.64377,-1.04907,-21.38419,29.94635,7.01245,7.77614
2011-02-22,1.58451,-0.96438,-20.99289,29.39598,6.9077,7.71917
2011-02-23,1.57334,-0.90933,-20.49107,29.01225,7.58763,8.27348
2011-02-24,1.55,-0.904,-21.44296,29.99999,7.74448,8.37408
2011-02-25,1.58124,-0.88491,-21.59331,30,7.29822,8.02442
2011-02-28,1.5567,-0.8882,-21.62029,30,7.20843,7.95202
2011-03-01,1.60318,-0.94359,-17.53888,26.1553,7.57179,8.29291
2011-03-02,1.59307,-0.95573,-20.33439,28.96254,7.75871,8.37434
2011-03-03,1.64972,-1.00915,-15.48566,24.4315,8.56533,9.02083
2011-03-04,2.49399,-1.6937,-1.08465,8.38184,8.7557,8.61878
2011-03-07,1.69854,-0.63904,8.56525,-1.27698,10.49172,0.12812
2011-03-08,1.70318,-0.64911,8.56339,-1.28012,10.6307,0.13413
2011-03-09,1.69743,-0.6406,8.56338,-1.24725,10.66898,0.14488
2011-03-10,1.6573,-0.65154,8.58394,-1.13861,10.58643,0.13198
2011-03-11,1.5961,-0.68495,8.62999,-0.80138,10.5461,0.12572
2011-03-14,1.66192,-0.72016,8.67923,-0.90584,10.32081,0.16382
2011-03-15,1.50883,-0.8043,8.82686,-0.45174,10.39385,0.06665
2011-03-16,1.53201,-1.10968,9.16395,0.81566,9.8062,0.54134
2011-03-17,1.5654,-1.11099,9.15838,0.66943,10.06754,0.56574
2011-03-18,1.60751,-1.11076,9.12199,0.62027,10.13195,0.66675
2011-03-21,1.67584,-1.18904,9.16731,0.94686,10.14281,0.83977
2011-03-22,1.72791,-1.24069,9.18086,1.14841,10.05123,0.97726
2011-03-23,1.69894,-0.69731,8.60893,-1.11111,10.73609,0.16135
2011-03-24,1.71465,-0.72748,8.63188,-1.04685,10.78814,0.15963
